study_id,study,ClinicalTrials,vaccine,vaccine_type,dose_unit,standard_dosage,location,vacc_schedule,against_strain,assay,conv,conv_lower,conv_upper,conv_N,dosage_tested,dose_frac,age,age_group,measured_day,schedule_type,N,nab_measurement,nab,nab_lower,nab_upper,derived_from,logTiter_vaccine,logTiter_conv,sd_vaccine,sd_conv,se_vaccine,se_conv,log_ratio_to_conv,ratio_to_conv,mean_sd_vaccine,se_sd_vaccine,log_ratio_lower,log_ratio_upper
39,PŽrez-Rodr’guez et al. 2022,RPCEC00000338,FINLAY-FR-1,Protein subunit,ug,50,"Havana, The Republic of Cuba",Day 0/28/93-101 (booster),Live SARS-CoV-2 virus,Molecular virus neutralization test (mVNT 50),59.3,41.1,85.5,68,50,1,19-59,adult,28,prime,20,GMT/CI,169.6,93.3,308,Table 4,2.229425848,1.773054693,0.591724135,0.669214317,0.132313539,0.081154156,0.456371155,2.860033727,0.587456118,0.098927474,0.204497155,0.712723463
39,PŽrez-Rodr’guez et al. 2022,RPCEC00000338,FINLAY-FR-1,Protein subunit,ug,50,"Havana, The Republic of Cuba",Day 0/28/93-101 (booster),Live SARS-CoV-2 virus,MNT 50,46.4,31.5,68.4,68,50,1,19-59,adult,28,prime,20,GMT/CI,12.7,7.5,21.6,Table 4,1.103803721,1.666517981,0.524098383,0.708386461,0.117191961,0.085904477,-0.56271426,0.273706897,0.516539399,0.084174107,-0.790812814,-0.327593687
39,PŽrez-Rodr’guez et al. 2022,RPCEC00000338,FINLAY-FR-1A,Protein subunit,ug,50,"Havana, The Republic of Cuba",Day 0/28/93-101 (booster),Live SARS-CoV-2 virus,Molecular virus neutralization test (mVNT 50),59.3,41.1,85.5,68,50,1,20-54,adult,28,prime,20,GMT/CI,83.6,43.9,159.1,Table 4,1.922206277,1.773054693,0.637970341,0.669214317,0.142654505,0.081154156,0.149151584,1.409780776,0.629070148,0.102821322,-0.138362326,0.420612843
39,PŽrez-Rodr’guez et al. 2022,RPCEC00000338,FINLAY-FR-1A,Protein subunit,ug,50,"Havana, The Republic of Cuba",Day 0/28/93-101 (booster),Live SARS-CoV-2 virus,MNT 50,46.4,31.5,68.4,68,50,1,20-54,adult,28,prime,20,GMT/CI,8.1,4.7,14.1,Table 4,0.908485019,1.666517981,0.544324265,0.708386461,0.121714606,0.085904477,-0.758032962,0.174568966,0.532715717,0.088882164,-0.991842571,-0.523329572
39,PŽrez-Rodr’guez et al. 2022,RPCEC00000338,FINLAY-FR-1A,Protein subunit,ug,50,"Havana, The Republic of Cuba",Day 0/28/56 (booster),Live SARS-CoV-2 virus,Molecular virus neutralization test (mVNT 50),59.3,41.1,85.5,68,25,0.5,20-57,adult,28,prime,20,GMT/CI,95.4,43.2,210.5,Table 4,1.979548375,1.773054693,0.78464122,0.669214317,0.175451111,0.081154156,0.206493681,1.608768971,0.777250958,0.124497134,-0.137362355,0.547053887
39,PŽrez-Rodr’guez et al. 2022,RPCEC00000338,FINLAY-FR-1A,Protein subunit,ug,50,"Havana, The Republic of Cuba",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,46.4,31.5,68.4,68,25,0.5,20-57,adult,28,prime,20,GMT/CI,7.9,4,15.6,Table 4,0.897627091,1.666517981,0.674316653,0.708386461,0.150781788,0.085904477,-0.768890889,0.170258621,0.667743379,0.109645162,-1.058538453,-0.479164756
41,Sridhar et al. 2022,NCT04762680,CoV2 preS dTM,Protein subunit,ug,10,US and The Republic of Honduras,Day 0/21,D614G variant Live SARS-CoV-2 virus,PsVNA ID50,2140,1543,2967,79,5,0.5,18-59,adult,35,prime,82,GMT/CI,2954,2272,3840,Table 2,3.470410491,3.330413773,0.526512657,0.64383092,0.058143596,0.072436638,0.139996718,1.380373832,0.52375106,0.042799358,0.028127234,0.251819316
41,Sridhar et al. 2022,NCT04762680,CoV2 preS dTM,Protein subunit,ug,10,US and The Republic of Honduras,Day 0/21,D614G variant Live SARS-CoV-2 virus,PsVNA ID50,2140,1543,2967,79,5,0.5,>=60,elderly,35,prime,83,GMT/CI,1628,1132,2341,Table 2,3.211654401,3.330413773,0.733378252,0.64383092,0.080498721,0.072436638,-0.118759373,0.760747664,0.732276437,0.058545795,-0.280232215,0.041087587
41,Sridhar et al. 2022,NCT04762680,CoV2 preS dTM,Protein subunit,ug,10,US and The Republic of Honduras,Day 0/21,D614G variant Live SARS-CoV-2 virus,PsVNA ID50,2140,1543,2967,79,10,1,18-59,adult,35,prime,81,GMT/CI,3951,2851,5474,Table 2,3.59670703,3.330413773,0.650451067,0.64383092,0.072272341,0.072436638,0.266293256,1.846261682,0.647426762,0.051960439,0.125927616,0.403483991
41,Sridhar et al. 2022,NCT04762680,CoV2 preS dTM,Protein subunit,ug,10,US and The Republic of Honduras,Day 0/21,D614G variant Live SARS-CoV-2 virus,PsVNA ID50,2140,1543,2967,79,10,1,>=60,elderly,35,prime,92,GMT/CI,1393,1021,1899,Table 2,3.143951116,3.330413773,0.659424932,0.64383092,0.068749802,0.072436638,-0.186462657,0.650934579,0.658271012,0.048748102,-0.321689862,-0.049685533
41,Sridhar et al. 2022,NCT04762680,CoV2 preS dTM,Protein subunit,ug,10,US and The Republic of Honduras,Day 0/21,D614G variant Live SARS-CoV-2 virus,PsVNA ID50,2140,1543,2967,79,15,1.5,18-59,adult,35,prime,81,GMT/CI,5142,3800,6958,Table 2,3.711132072,3.330413773,0.603139656,0.64383092,0.067015517,0.072436638,0.380718299,2.402803738,0.602347764,0.047693168,0.244589056,0.512107668
41,Sridhar et al. 2022,NCT04762680,CoV2 preS dTM,Protein subunit,ug,10,US and The Republic of Honduras,Day 0/21,D614G variant Live SARS-CoV-2 virus,PsVNA ID50,2140,1543,2967,79,15,1.5,>=60,elderly,35,prime,91,GMT/CI,1736,1264,2385,Table 2,3.239549721,3.330413773,0.671021542,0.64383092,0.070342171,0.072436638,-0.090864053,0.811214953,0.668328625,0.051196514,-0.225845212,0.051557857
48,Hsieh et al. 2021,NCT04487210,MVC-COV1901,Protein subunit,ug,15,Taiwan,Day 0/28,Pseudo virus,PsVNA ID50,430.5,274.9,674,35,15,1,20-49,adult,42,prime,15,GMT/CI,993.1,655,1505.65,Table S4,2.996992982,2.633973156,0.357147089,0.587812567,0.092214982,0.099358458,0.363019826,2.306852497,0.35070086,0.067166984,0.179268256,0.542943962
48,Hsieh et al. 2021,NCT04487210,MVC-COV1901,Protein subunit,ug,15,Taiwan,Day 0/28,Pseudo virus,PsVNA ID50,430.5,274.9,674,35,25,1.67,20-49,adult,42,prime,15,GMT/CI,1905.8,1601.67,2267.78,Table S4,3.280077323,2.633973156,0.149216445,0.587812567,0.03852752,0.099358458,0.646104167,4.426945412,0.145567152,0.027610313,0.570021066,0.720756473
48,Hsieh et al. 2021,NCT04487210,MVC-COV1901,Protein subunit,ug,15,Taiwan,Day 0/28,Live SARS-CoV-2 virus,MNT 50,42.7,26.38,69.04,35,15,1,20-49,adult,42,prime,15,GMT/CI,76.3,53.75,108.33,Table S4,1.882524538,1.630427875,0.300719644,0.630584669,0.077645478,0.106588263,0.252096663,1.786885246,0.296658029,0.055811734,0.103839734,0.399195033
48,Hsieh et al. 2021,NCT04487210,MVC-COV1901,Protein subunit,ug,15,Taiwan,Day 0/28,Live SARS-CoV-2 virus,MNT 50,42.7,26.38,69.04,35,25,1.67,20-49,adult,42,prime,15,GMT/CI,167.4,122.05,229.61,Table S4,2.223755454,1.630427875,0.271161213,0.630584669,0.070013524,0.106588263,0.593327579,3.920374707,0.265887764,0.051035941,0.455693089,0.726424091
48,Hsieh et al. 2021,NCT04487210,MVC-COV1901,Protein subunit,ug,15,Taiwan,Day 0/28,Pseudo virus,PsVNA ID50,430.5,274.9,674,35,5,0.33,20-49,adult,56,prime,15,GMT/CI,652.7,361.55,1178.23,Table S4,2.814713613,2.633973156,0.506908026,0.587812567,0.130883089,0.099358458,0.180740457,1.516144019,0.499219615,0.092445104,-0.072766901,0.43925499
48,Hsieh et al. 2021,NCT04487210,MVC-COV1901,Protein subunit,ug,15,Taiwan,Day 0/28,Live SARS-CoV-2 virus,MNT 50,42.7,26.38,69.04,35,5,0.33,20-49,adult,56,prime,15,GMT/CI,36.8,19.86,68.29,Table S4,1.565847819,1.630427875,0.529944529,0.630584669,0.136831089,0.106588263,-0.064580056,0.861826698,0.52139867,0.10074782,-0.332613102,0.20758076
